(CAPTURE)A2:1
(HOME)A1:1
(LS)L3:1
(RS)R3:1
B1(1K)1:1
B2(2K)1:1
B3(1P)1:1
B4(2P)1:1
DOWN1:1
G***:2
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
L1(4P)1:1
L2(4K)1:1
LEFT1:1
R1(3P)1:1
R2(3K)1:1
RIGHT1:1
S1(SELECT)1:1
S2(START)1:1
U1:1
UP1:1
